age,income,target
45,95000,1
40,90000,1
28,45000,0
45,95000,1
35,60000,0
22,35000,0
28,45000,0
28,45000,0
45,95000,1
30,75000,1
35,60000,0
45,95000,1
35,60000,0
35,60000,0
22,35000,0
28,45000,0
40,90000,1
22,35000,0
22,35000,0
35,60000,0
33,80000,1
28,45000,0
30,75000,1
22,35000,0
40,90000,1
33,80000,1
33,80000,1
30,75000,1
22,35000,0
40,90000,1
28,45000,0
25,50000,0
40,90000,1
30,75000,1
33,80000,1
28,45000,0
40,90000,1
25,50000,0
25,50000,0
35,60000,0
35,60000,0
45,95000,1
30,75000,1
22,35000,0
40,90000,1
40,90000,1
22,35000,0
45,95000,1
33,80000,1
33,80000,1
45,95000,1
33,80000,1
35,60000,0
40,90000,1
45,95000,1
40,90000,1
22,35000,0
25,50000,0
35,60000,0
28,45000,0
35,60000,0
45,95000,1
28,45000,0
25,50000,0
45,95000,1
30,75000,1
40,90000,1
25,50000,0
40,90000,1
33,80000,1
30,75000,1
30,75000,1
25,50000,0
30,75000,1
28,45000,0
30,75000,1
40,90000,1
40,90000,1
45,95000,1
40,90000,1
45,95000,1
40,90000,1
28,45000,0
22,35000,0
45,95000,1
35,60000,0
33,80000,1
25,50000,0
40,90000,1
30,75000,1
22,35000,0
40,90000,1
30,75000,1
33,80000,1
33,80000,1
33,80000,1
30,75000,1
40,90000,1
33,80000,1
28,45000,0
45,95000,1
30,75000,1
30,75000,1
40,90000,1
30,75000,1
30,75000,1
33,80000,1
40,90000,1
33,80000,1
45,95000,1
22,35000,0
45,95000,1
22,35000,0
33,80000,1
45,95000,1
40,90000,1
25,50000,0
33,80000,1
22,35000,0
28,45000,0
22,35000,0
28,45000,0
30,75000,1
45,95000,1
28,45000,0
22,35000,0
30,75000,1
25,50000,0
40,90000,1
40,90000,1
40,90000,1
28,45000,0
25,50000,0
28,45000,0
45,95000,1
28,45000,0
25,50000,0
25,50000,0
45,95000,1
25,50000,0
22,35000,0
25,50000,0
40,90000,1
22,35000,0
22,35000,0
45,95000,1
35,60000,0
35,60000,0
25,50000,0
22,35000,0
35,60000,0
35,60000,0
25,50000,0
35,60000,0
28,45000,0
30,75000,1
45,95000,1
30,75000,1
25,50000,0
40,90000,1
45,95000,1
25,50000,0
22,35000,0
40,90000,1
30,75000,1
25,50000,0
22,35000,0
45,95000,1
45,95000,1
33,80000,1
22,35000,0
28,45000,0
35,60000,0
40,90000,1
22,35000,0
33,80000,1
35,60000,0
35,60000,0
25,50000,0
35,60000,0
28,45000,0
45,95000,1
33,80000,1
35,60000,0
25,50000,0
28,45000,0
30,75000,1
45,95000,1
45,95000,1
33,80000,1
45,95000,1
35,60000,0
25,50000,0
45,95000,1
45,95000,1
30,75000,1
30,75000,1
40,90000,1
28,45000,0
35,60000,0
45,95000,1
22,35000,0
45,95000,1
25,50000,0
40,90000,1
28,45000,0
22,35000,0
40,90000,1
33,80000,1
28,45000,0
45,95000,1
45,95000,1
28,45000,0
45,95000,1
35,60000,0
28,45000,0
40,90000,1
28,45000,0
22,35000,0
45,95000,1
35,60000,0
35,60000,0
33,80000,1
40,90000,1
30,75000,1
30,75000,1
28,45000,0
33,80000,1
25,50000,0
28,45000,0
33,80000,1
40,90000,1
40,90000,1
40,90000,1
40,90000,1
40,90000,1
33,80000,1
33,80000,1
35,60000,0
22,35000,0
30,75000,1
45,95000,1
40,90000,1
25,50000,0
45,95000,1
33,80000,1
25,50000,0
25,50000,0
25,50000,0
35,60000,0
33,80000,1
25,50000,0
40,90000,1
28,45000,0
25,50000,0
35,60000,0
45,95000,1
33,80000,1
22,35000,0
35,60000,0
25,50000,0
33,80000,1
28,45000,0
25,50000,0
35,60000,0
30,75000,1
40,90000,1
22,35000,0
45,95000,1
35,60000,0
33,80000,1
22,35000,0
22,35000,0
22,35000,0
25,50000,0
40,90000,1
25,50000,0
33,80000,1
25,50000,0
30,75000,1
40,90000,1
40,90000,1
33,80000,1
45,95000,1
30,75000,1
35,60000,0
25,50000,0
28,45000,0
25,50000,0
22,35000,0
25,50000,0
35,60000,0
25,50000,0
30,75000,1
30,75000,1
40,90000,1
33,80000,1
45,95000,1
28,45000,0
22,35000,0
25,50000,0
25,50000,0
35,60000,0
33,80000,1
30,75000,1
28,45000,0
40,90000,1
30,75000,1
22,35000,0
33,80000,1
22,35000,0
45,95000,1
40,90000,1
45,95000,1
35,60000,0
22,35000,0
35,60000,0
25,50000,0
45,95000,1
33,80000,1
22,35000,0
28,45000,0
40,90000,1
30,75000,1
33,80000,1
33,80000,1
35,60000,0
45,95000,1
22,35000,0
22,35000,0
25,50000,0
25,50000,0
40,90000,1
35,60000,0
33,80000,1
22,35000,0
28,45000,0
35,60000,0
40,90000,1
40,90000,1
35,60000,0
40,90000,1
35,60000,0
30,75000,1
35,60000,0
45,95000,1
35,60000,0
40,90000,1
22,35000,0
45,95000,1
40,90000,1
25,50000,0
25,50000,0
22,35000,0
22,35000,0
45,95000,1
30,75000,1
22,35000,0
25,50000,0
35,60000,0
40,90000,1
25,50000,0
25,50000,0
30,75000,1
45,95000,1
45,95000,1
33,80000,1
30,75000,1
35,60000,0
45,95000,1
40,90000,1
22,35000,0
30,75000,1
22,35000,0
25,50000,0
40,90000,1
40,90000,1
25,50000,0
30,75000,1
25,50000,0
22,35000,0
33,80000,1
40,90000,1
28,45000,0
28,45000,0
22,35000,0
35,60000,0
45,95000,1
25,50000,0
25,50000,0
35,60000,0
35,60000,0
22,35000,0
22,35000,0
35,60000,0
40,90000,1
22,35000,0
33,80000,1
22,35000,0
25,50000,0
22,35000,0
40,90000,1
35,60000,0
25,50000,0
22,35000,0
40,90000,1
33,80000,1
22,35000,0
40,90000,1
33,80000,1
35,60000,0
22,35000,0
33,80000,1
25,50000,0
35,60000,0
25,50000,0
28,45000,0
30,75000,1
22,35000,0
33,80000,1
30,75000,1
30,75000,1
33,80000,1
35,60000,0
22,35000,0
28,45000,0
25,50000,0
40,90000,1
25,50000,0
40,90000,1
25,50000,0
33,80000,1
28,45000,0
22,35000,0
40,90000,1
22,35000,0
22,35000,0
22,35000,0
45,95000,1
35,60000,0
25,50000,0
22,35000,0
25,50000,0
22,35000,0
40,90000,1
35,60000,0
35,60000,0
33,80000,1
45,95000,1
33,80000,1
33,80000,1
33,80000,1
33,80000,1
33,80000,1
28,45000,0
35,60000,0
33,80000,1
22,35000,0
35,60000,0
35,60000,0
30,75000,1
28,45000,0
33,80000,1
25,50000,0
40,90000,1
45,95000,1
22,35000,0
25,50000,0
28,45000,0
40,90000,1
28,45000,0
22,35000,0
35,60000,0
40,90000,1
35,60000,0
22,35000,0
25,50000,0
22,35000,0
25,50000,0
40,90000,1
40,90000,1
33,80000,1
28,45000,0
33,80000,1
28,45000,0
33,80000,1
35,60000,0
40,90000,1
25,50000,0
28,45000,0
22,35000,0
28,45000,0
25,50000,0
33,80000,1
28,45000,0
45,95000,1
35,60000,0
40,90000,1
25,50000,0
40,90000,1
